,n_comprobante,fecha,cliente,codigo,cantidad,descripcion,p_unitario,iva,precio_final
42,B 0003- 00176347,01/01/2023,Cliente: Consumidor Final (1),18,1,MARLBORO KS,480.0,10.5,480.0
43,B 0003- 00176347,01/01/2023,Cliente: Consumidor Final (1),9540998,1,vino perro callejero malbec,1490.0,21.0,1490.0
44,B 0003- 00176348,01/01/2023,Cliente: QR Nico (21),3503,2,Cafe doble o con leche,180.0,21.0,360.0
45,B 0003- 00176348,01/01/2023,Cliente: QR Nico (21),9540656,1,Mani Con Cascara 200gr el buho,270.0,21.0,270.0
46,B 0003- 00176348,01/01/2023,Cliente: QR Nico (21),6017,1,papas lays x 94 grs,490.0,21.0,490.0
47,B 0003- 00176349,01/01/2023,Cliente: Consumidor Final (1),7791346,1,Coca cola Zero 2L retornable,440.0,21.0,440.0
48,B 0003- 00176350,01/01/2023,Cliente: Consumidor Final (1),65,1,PIZZA ESPECIAL/MUZZA/NAPO/CANTI/ROQUE,430.0,21.0,430.0
49,B 0003- 00176351,01/01/2023,Cliente: Consumidor Final (1),23,1,Parliament Box,580.0,21.0,580.0
50,B 0003- 00176352,01/01/2023,Cliente: Consumidor Final (1),899,1,Coca Cola 1500 cc,470.0,21.0,470.0
51,B 0003- 00176352,01/01/2023,Cliente: Consumidor Final (1),21,1,Philip Morris KS,430.0,10.5,430.0
52,B 0003- 00176353,01/01/2023,Cliente: Consumidor Final (1),899,1,Coca Cola 1500 cc,470.0,21.0,470.0
53,B 0003- 00176354,01/01/2023,Cliente: Billetera (23),9541086,1,patagonia travesia sureña 410ml,370.0,21.0,370.0
54,B 0003- 00176354,01/01/2023,Cliente: Billetera (23),9540835,1,Patagonia 24.7 330 botella,370.0,21.0,370.0
55,B 0003- 00176355,01/01/2023,Cliente: Consumidor Final (1),20,1,Marlboro 10,310.0,10.5,310.0
56,B 0003- 00176356,01/01/2023,Cliente: Billetera (23),7894107,1,Schneider Lata 473ml,280.0,21.0,280.0
57,B 0003- 00176356,01/01/2023,Cliente: Billetera (23),7894501,1,Pepsi lata,140.0,21.0,140.0
58,B 0003- 00176357,01/01/2023,Cliente: Consumidor Final (1),3021,2,"sanguche milanesa jamon, queso casero",430.0,21.0,860.0
59,B 0003- 00176358,01/01/2023,Cliente: Consumidor Final (1),899,1,Coca Cola 1500 cc,470.0,21.0,470.0
60,B 0003- 00176358,01/01/2023,Cliente: Consumidor Final (1),1514,1,Triple Miga Chico Migamax,290.0,21.0,290.0
61,B 0003- 00176358,01/01/2023,Cliente: Consumidor Final (1),30,1,Lucky Strike Box,470.0,10.5,470.0
62,B 0003- 00176359,01/01/2023,Cliente: Consumidor Final (1),991,2,yogur con cereal light serenisima,215.0,21.0,430.0
63,B 0003- 00176360,01/01/2023,Cliente: Consumidor Final (1),3503,2,Cafe doble o con leche,180.0,21.0,360.0
64,B 0003- 00176361,01/01/2023,Cliente: Consumidor Final (1),61,1,Mogul Ositos,85.0,21.0,85.0
65,B 0003- 00176362,01/01/2023,Cliente: Consumidor Final (1),18,1,MARLBORO KS,480.0,10.5,480.0
66,B 0003- 00176363,01/01/2023,Cliente: Consumidor Final (1),7791434,1,Mayonesa Hellmanns x 237g,250.0,21.0,250.0
67,B 0003- 00176364,01/01/2023,Cliente: Consumidor Final (1),3717,1,Sprite 2000 cc Retornable,440.0,21.0,440.0
68,B 0003- 00176364,01/01/2023,Cliente: Consumidor Final (1),6053,1,H2O Limoneto 2.25 cc,250.0,21.0,250.0
69,B 0003- 00176365,01/01/2023,Cliente: Consumidor Final (1),1516,1,Triple Grande Migamax,340.0,21.0,340.0
70,B 0003- 00176366,01/01/2023,Cliente: Consumidor Final (1),215,2,suelto economico (pier / liverpool),20.0,0.0,40.0
71,B 0003- 00176366,01/01/2023,Cliente: Consumidor Final (1),983,1,Quilmes Lata 473cc,240.0,21.0,240.0
72,B 0003- 00176367,01/01/2023,Cliente: Consumidor Final (1),7894680,1,Doritos queso 45g,280.0,21.0,280.0
73,B 0003- 00176367,01/01/2023,Cliente: Consumidor Final (1),866,1,Bizcochos 9 de Oro clásicas 200g,190.0,21.0,190.0
74,B 0003- 00176368,01/01/2023,Cliente: Consumidor Final (1),7893915,1,Cunnington Pomelo/Tonica 1.5l,260.0,21.0,260.0
75,B 0003- 00176369,01/01/2023,Cliente: Consumidor Final (1),7791753,1,Criollitas x 3,290.0,21.0,290.0
76,B 0003- 00176369,01/01/2023,Cliente: Consumidor Final (1),7798060,1,Queso Patagonia ligth,350.0,21.0,350.0
77,B 0003- 00176370,01/01/2023,Cliente: Consumidor Final (1),1516,2,Triple Grande Migamax,340.0,21.0,680.0
78,B 0003- 00176370,01/01/2023,Cliente: Consumidor Final (1),7791310,1,Halls Strong,115.0,21.0,115.0
79,B 0003- 00176370,01/01/2023,Cliente: Consumidor Final (1),1,5,Caramelos (alka 3*10 super 2*10 butter 30),10.0,21.0,50.0
80,B 0003- 00176370,01/01/2023,Cliente: Consumidor Final (1),100,1,Alfajor Fantoche Triple Blanco,150.0,21.0,150.0
81,B 0003- 00176371,01/01/2023,Cliente: Consumidor Final (1),900,1,Coca cola Zero 1500cc,470.0,21.0,470.0
82,B 0003- 00176372,01/01/2023,Cliente: Consumidor Final (1),9541086,1,patagonia travesia sureña 410ml,370.0,21.0,370.0
83,B 0003- 00176372,01/01/2023,Cliente: Consumidor Final (1),3647,1,lucky clic cool 12,280.0,21.0,280.0
84,B 0003- 00176373,01/02/2023,Cliente: Consumidor Final (1),14,1,Lucky Strike 12,280.0,10.5,280.0
85,B 0003- 00176373,01/02/2023,Cliente: Consumidor Final (1),9540442,1,Rockstar 500ml,190.0,21.0,190.0
86,B 0003- 00176373,01/02/2023,Cliente: Consumidor Final (1),21,2,Philip Morris KS,430.0,10.5,860.0
87,B 0003- 00176374,01/02/2023,Cliente: Consumidor Final (1),13,1,Philip Morris 10,280.0,10.5,280.0
88,B 0003- 00176374,01/02/2023,Cliente: Consumidor Final (1),7898316,1,Menthoplus Strong,100.0,21.0,100.0
89,B 0003- 00176375,01/02/2023,Cliente: Consumidor Final (1),3502,1,Cafe jarra,160.0,21.0,160.0
90,B 0003- 00176375,01/02/2023,Cliente: Consumidor Final (1),3505,2,Medialuna/Bizcocho,90.0,21.0,180.0
91,B 0003- 00176376,01/02/2023,Cliente: Consumidor Final (1),14,1,Lucky Strike 12,280.0,10.5,280.0
92,B 0003- 00176376,01/02/2023,Cliente: Consumidor Final (1),1,3,Caramelos (alka 3*10 super 2*10 butter 30),10.0,21.0,30.0
93,B 0003- 00176377,01/02/2023,Cliente: Consumidor Final (1),974,1,yogur con cereal clasico serenisima,215.0,21.0,215.0
94,B 0003- 00176377,01/02/2023,Cliente: Consumidor Final (1),3557,1,Alfajor sin culpa limon,145.0,21.0,145.0
95,B 0003- 00176378,01/02/2023,Cliente: Consumidor Final (1),6697,1,Cerealitas Clasicas 200g,245.0,21.0,245.0
96,B 0003- 00176378,01/02/2023,Cliente: Consumidor Final (1),6804,1,Levite Manzana 500,150.0,21.0,150.0
97,B 0003- 00176379,01/02/2023,Cliente: Consumidor Final (1),3502,2,Cafe jarra,160.0,21.0,320.0
98,B 0003- 00176379,01/02/2023,Cliente: Consumidor Final (1),3505,4,Medialuna/Bizcocho,90.0,21.0,360.0
99,B 0003- 00176380,01/02/2023,Cliente: Consumidor Final (1),7791353,1,Beldent Menta Fuerte,110.0,21.0,110.0
100,B 0003- 00176381,01/02/2023,Cliente: Consumidor Final (1),7898316,1,Menthoplus Strong,100.0,21.0,100.0
101,B 0003- 00176381,01/02/2023,Cliente: Consumidor Final (1),7791353,1,Beldent Menta Fuerte,110.0,21.0,110.0
102,B 0003- 00176381,01/02/2023,Cliente: Consumidor Final (1),3520,1,Bananita Dolca grande 30g,150.0,21.0,150.0
103,B 0003- 00176381,01/02/2023,Cliente: Consumidor Final (1),7791357,1,Marroc bocadito,60.0,21.0,60.0
104,B 0003- 00176382,01/02/2023,Cliente: Consumidor Final (1),6305,1,azucar baity comun,295.0,21.0,295.0
105,B 0003- 00176383,01/02/2023,Cliente: Consumidor Final (1),3502,1,Cafe jarra,160.0,21.0,160.0
106,B 0003- 00176383,01/02/2023,Cliente: Consumidor Final (1),7894137,2,"mix de avena, semillas y frutos secos",30.0,0.0,60.0
107,B 0003- 00176384,01/02/2023,Cliente: Consumidor Final (1),3502,1,Cafe jarra,160.0,21.0,160.0
108,B 0003- 00176385,01/02/2023,Cliente: Consumidor Final (1),2,2,Cigarrillos Suelto lucky,30.0,21.0,60.0
109,B 0003- 00176386,01/02/2023,Cliente: Consumidor Final (1),3505,2,Medialuna/Bizcocho,90.0,21.0,180.0
110,B 0003- 00176387,01/02/2023,Cliente: Consumidor Final (1),3508,1,Café para llevar,200.0,21.0,200.0
111,B 0003- 00176388,01/02/2023,Cliente: Consumidor Final (1),3502,1,Cafe jarra,160.0,21.0,160.0
112,B 0003- 00176389,01/02/2023,Cliente: Consumidor Final (1),9540735,1,Lucky box convertible 20,470.0,21.0,470.0
113,B 0003- 00176390,01/02/2023,Cliente: Consumidor Final (1),18,1,MARLBORO KS,480.0,10.5,480.0
114,B 0003- 00176391,01/02/2023,Cliente: Consumidor Final (1),6216,1,Cappuccino La Virginia x Sobre de 12.5 g,90.0,21.0,90.0
115,B 0003- 00176391,01/02/2023,Cliente: Consumidor Final (1),6795,2,cafe en saquito la virginia x 5grs,40.0,21.0,80.0
116,B 0003- 00176391,01/02/2023,Cliente: Consumidor Final (1),7894137,1,"mix de avena, semillas y frutos secos",30.0,0.0,30.0
117,B 0003- 00176391,01/02/2023,Cliente: Consumidor Final (1),9541033,1,beldent menta fuerte 3s,40.0,21.0,40.0
118,B 0003- 00176392,01/02/2023,Cliente: Consumidor Final (1),3021,1,"sanguche milanesa jamon, queso casero",430.0,21.0,430.0
119,B 0003- 00176393,01/02/2023,Cliente: Consumidor Final (1),9541063,2,turron namur georgalos,40.0,0.0,80.0
120,B 0003- 00176394,01/02/2023,Cliente: Consumidor Final (1),3505,4,Medialuna/Bizcocho,90.0,21.0,360.0
121,B 0003- 00176394,01/02/2023,Cliente: Consumidor Final (1),1,4,Caramelos (alka 3*10 super 2*10 butter 30),10.0,21.0,40.0
122,B 0003- 00176395,01/02/2023,Cliente: Consumidor Final (1),1038,1,Gatorade Cool Blue 500cc,290.0,21.0,290.0
123,B 0003- 00176395,01/02/2023,Cliente: Consumidor Final (1),1583,1,Cereal mix Manzana light,120.0,21.0,120.0
124,B 0003- 00176396,01/02/2023,Cliente: Consumidor Final (1),7893417,3,Stella Artois lata 473 cm,290.0,21.0,870.0
125,B 0003- 00176397,01/02/2023,Cliente: Consumidor Final (1),6803,1,Levite Naranja 500c,150.0,21.0,150.0
126,B 0003- 00176398,01/02/2023,Cliente: Consumidor Final (1),9540793,1,mirinda lata 354ml,90.0,21.0,90.0
127,B 0003- 00176398,01/02/2023,Cliente: Consumidor Final (1),1,20,Caramelos (alka 3*10 super 2*10 butter 30),10.0,21.0,200.0
128,B 0003- 00176398,01/02/2023,Cliente: Consumidor Final (1),65,1,PIZZA ESPECIAL/MUZZA/NAPO/CANTI/ROQUE,430.0,21.0,430.0
129,B 0003- 00176399,01/02/2023,Cliente: Consumidor Final (1),3508,2,Café para llevar,200.0,21.0,400.0
130,B 0003- 00176399,01/02/2023,Cliente: Consumidor Final (1),3505,4,Medialuna/Bizcocho,90.0,21.0,360.0
131,B 0003- 00176400,01/02/2023,Cliente: Consumidor Final (1),195,1,Cereal Mix Yoghurt Frutilla Light,120.0,21.0,120.0
132,B 0003- 00176400,01/02/2023,Cliente: Consumidor Final (1),7791581,2,Chocolate Vauquita Suave,60.0,21.0,120.0
133,B 0003- 00176401,01/02/2023,Cliente: Consumidor Final (1),7791353,1,Beldent Menta Fuerte,110.0,21.0,110.0
134,B 0003- 00176401,01/02/2023,Cliente: Consumidor Final (1),9540735,1,Lucky box convertible 20,470.0,21.0,470.0
135,B 0003- 00176401,01/02/2023,Cliente: Consumidor Final (1),7791383,3,Flynn Paff x unidad,20.0,21.0,60.0
136,B 0003- 00176402,01/02/2023,Cliente: Consumidor Final (1),7895178,5,Liverpool suave,200.0,21.0,1000.0
137,B 0003- 00176402,01/02/2023,Cliente: Consumidor Final (1),991,1,yogur con cereal light serenisima,215.0,21.0,215.0
138,B 0003- 00176403,01/02/2023,Cliente: Consumidor Final (1),1518,1,Bandeja x12 simples Migamax,380.0,21.0,380.0
139,B 0003- 00176403,01/02/2023,Cliente: Consumidor Final (1),9540831,1,monster the doctor 473cc,385.0,21.0,385.0
140,B 0003- 00176404,01/02/2023,Cliente: Consumidor Final (1),6674,1,imperial rubia lata,280.0,21.0,280.0
141,B 0003- 00176405,01/02/2023,Cliente: Consumidor Final (1),3505,2,Medialuna/Bizcocho,90.0,21.0,180.0
142,B 0003- 00176405,01/02/2023,Cliente: Consumidor Final (1),905,1,Sprite 500cc,220.0,21.0,220.0
143,B 0003- 00176406,01/02/2023,Cliente: Consumidor Final (1),866,1,Bizcochos 9 de Oro clásicas 200g,190.0,21.0,190.0
144,B 0003- 00176407,01/02/2023,Cliente: Consumidor Final (1),106,1,ENSALADA DE FRUTA,260.0,21.0,260.0
145,B 0003- 00176408,01/02/2023,Cliente: Billetera (23),3021,1,"sanguche milanesa jamon, queso casero",430.0,21.0,430.0
146,B 0003- 00176409,01/02/2023,Cliente: Consumidor Final (1),3021,2,"sanguche milanesa jamon, queso casero",430.0,21.0,860.0
147,B 0003- 00176410,01/02/2023,Cliente: Consumidor Final (1),7893764,1,Fanta lata 310,180.0,21.0,180.0
148,B 0003- 00176411,01/02/2023,Cliente: Consumidor Final (1),3647,1,lucky clic cool 12,280.0,21.0,280.0
149,B 0003- 00176412,01/02/2023,Cliente: Consumidor Final (1),3502,1,Cafe jarra,160.0,21.0,160.0
150,B 0003- 00176413,01/02/2023,Cliente: Consumidor Final (1),6394,1,Liverpool,200.0,21.0,200.0
151,B 0003- 00176414,01/02/2023,Cliente: Consumidor Final (1),6674,1,imperial rubia lata,280.0,21.0,280.0
152,B 0003- 00176415,01/02/2023,Cliente: Consumidor Final (1),222,1,Queso Rallado La Serenisima 35g,200.0,21.0,200.0
153,B 0003- 00176415,01/02/2023,Cliente: Consumidor Final (1),1686,1,crema de leche serenisima cocina 200ml,290.0,21.0,290.0
154,B 0003- 00176416,01/02/2023,Cliente: Consumidor Final (1),3517,1,Encendedor Candela,110.0,21.0,110.0
155,B 0003- 00176416,01/02/2023,Cliente: Consumidor Final (1),1519,1,Pack x4 Triples Migamax,340.0,21.0,340.0
156,B 0003- 00176417,01/02/2023,Cliente: Consumidor Final (1),941,1,Levite Pomelo 1500cc,310.0,21.0,310.0
157,B 0003- 00176417,01/02/2023,Cliente: Consumidor Final (1),9541084,2,cigarrillos pier 10box,120.0,21.0,240.0
158,B 0003- 00176418,01/02/2023,Cliente: Consumidor Final (1),9540884,1,Levite FIZZ limon 575 ml,150.0,21.0,150.0
159,B 0003- 00176419,01/02/2023,Cliente: Consumidor Final (1),9540735,1,Lucky box convertible 20,470.0,21.0,470.0
160,B 0003- 00176420,01/02/2023,Cliente: Consumidor Final (1),1038,1,Gatorade Cool Blue 500cc,290.0,21.0,290.0
161,B 0003- 00176421,01/02/2023,Cliente: Consumidor Final (1),500,350,carga virtual,1.0,21.0,350.0
162,B 0003- 00176422,01/02/2023,Cliente: Consumidor Final (1),7895105,1,Andes Roja 1 Litro,490.0,21.0,490.0
163,B 0003- 00176422,01/02/2023,Cliente: Consumidor Final (1),7893870,1,3D por 43g,250.0,21.0,250.0
164,B 0003- 00176423,01/02/2023,Cliente: Consumidor Final (1),905,1,Sprite 500cc,220.0,21.0,220.0
165,B 0003- 00176423,01/02/2023,Cliente: Consumidor Final (1),7791357,2,Marroc bocadito,60.0,21.0,120.0
166,B 0003- 00176424,01/02/2023,Cliente: Consumidor Final (1),7893753,1,Brahma lata 473ml,240.0,21.0,240.0
167,B 0003- 00176425,01/02/2023,Cliente: Consumidor Final (1),9541080,1,Gin brighton london dry 700ml,2060.0,21.0,2060.0
168,B 0003- 00176425,01/02/2023,Cliente: Consumidor Final (1),926,2,Paso de los Toros Tónica 1.500 cc,420.0,21.0,840.0
169,B 0003- 00176426,01/02/2023,Cliente: Consumidor Final (1),1,5,Caramelos (alka 3*10 super 2*10 butter 30),10.0,21.0,50.0
170,B 0003- 00176426,01/02/2023,Cliente: Consumidor Final (1),149,1,Mentos Menta,120.0,21.0,120.0
171,B 0003- 00176427,01/02/2023,Cliente: Consumidor Final (1),7893590,1,Mayonesa Natura 250cm,390.0,21.0,390.0
172,B 0003- 00176428,01/02/2023,Cliente: Consumidor Final (1),982,1,Quilmes Cristal 1L,420.0,21.0,420.0
173,B 0003- 00176428,01/02/2023,Cliente: Consumidor Final (1),924,1,Paso de los Toros Pomelo 269ml,120.0,21.0,120.0
174,B 0003- 00176429,01/02/2023,Cliente: Consumidor Final (1),7791419,1,Heineken Ret x 1L,830.0,21.0,830.0
175,B 0003- 00176430,01/02/2023,Cliente: Consumidor Final (1),7791310,1,Halls Strong,115.0,21.0,115.0
176,B 0003- 00176431,01/02/2023,Cliente: Consumidor Final (1),6507,9,Cigarrillos Dolchester,170.0,21.0,1530.0
177,B 0003- 00176432,01/02/2023,Cliente: Consumidor Final (1),6449,1,toallas con alas always x 8,260.0,21.0,260.0
178,B 0003- 00176433,01/02/2023,Cliente: Billetera (23),7791346,1,Coca cola Zero 2L retornable,440.0,21.0,440.0
179,B 0003- 00176433,01/02/2023,Cliente: Billetera (23),7893461,1,Express Clasicas por 101 g,160.0,21.0,160.0
180,B 0003- 00176434,01/02/2023,Cliente: Consumidor Final (1),7895184,1,Tabaco Pacha Mama 30g,750.0,21.0,750.0
181,B 0003- 00176435,01/02/2023,Cliente: Consumidor Final (1),3503,1,Cafe doble o con leche,180.0,21.0,180.0
182,B 0003- 00176435,01/02/2023,Cliente: Consumidor Final (1),6808,1,yogurisimo con cereales,130.0,21.0,130.0
183,B 0003- 00176436,01/02/2023,Cliente: Consumidor Final (1),6202,1,7up 2L free Retornable,250.0,21.0,250.0
184,B 0003- 00176437,01/02/2023,Cliente: Consumidor Final (1),1624,1,Coca Cola Zero x 500 cc,220.0,21.0,220.0
185,B 0003- 00176437,01/02/2023,Cliente: Consumidor Final (1),9540833,2,beldent menta fresh sparks,110.0,21.0,220.0
186,B 0003- 00176438,01/02/2023,Cliente: Consumidor Final (1),9540518,1,Mana rellenas frutilla 152g,230.0,21.0,230.0
187,B 0003- 00176439,01/02/2023,Cliente: Consumidor Final (1),7791419,1,Heineken Ret x 1L,830.0,21.0,830.0
188,B 0003- 00176440,01/02/2023,Cliente: Consumidor Final (1),3647,1,lucky clic cool 12,280.0,21.0,280.0
189,B 0003- 00176441,01/02/2023,Cliente: Consumidor Final (1),9540856,1,Cafe Instantaneo la virginia 100 grs,810.0,21.0,810.0
190,B 0003- 00176442,01/02/2023,Cliente: Consumidor Final (1),1514,1,Triple Miga Chico Migamax,290.0,21.0,290.0
191,B 0003- 00176442,01/02/2023,Cliente: Consumidor Final (1),3503,1,Cafe doble o con leche,180.0,21.0,180.0
192,B 0003- 00176443,01/02/2023,Cliente: Consumidor Final (1),7895012,1,Lays queso crema y cebolla 85g,490.0,21.0,490.0
193,B 0003- 00176444,01/02/2023,Cliente: Consumidor Final (1),7894107,1,Schneider Lata 473ml,280.0,21.0,280.0
194,B 0003- 00176444,01/02/2023,Cliente: Consumidor Final (1),14,1,Lucky Strike 12,280.0,10.5,280.0
195,B 0003- 00176445,01/02/2023,Cliente: Consumidor Final (1),18,1,MARLBORO KS,480.0,10.5,480.0
196,B 0003- 00176446,01/02/2023,Cliente: Consumidor Final (1),3520,1,Bananita Dolca grande 30g,150.0,21.0,150.0
197,B 0003- 00176446,01/02/2023,Cliente: Consumidor Final (1),900,1,Coca cola Zero 1500cc,470.0,21.0,470.0
198,B 0003- 00176446,01/02/2023,Cliente: Consumidor Final (1),106,2,ENSALADA DE FRUTA,260.0,21.0,520.0
199,B 0003- 00176447,01/02/2023,Cliente: Consumidor Final (1),910,1,Fanta 500 cc,220.0,21.0,220.0
200,B 0003- 00176447,01/02/2023,Cliente: Consumidor Final (1),7894624,1,3D 95g,490.0,21.0,490.0
201,B 0003- 00176448,01/02/2023,Cliente: Consumidor Final (1),9540735,1,Lucky box convertible 20,470.0,21.0,470.0
202,B 0003- 00176449,01/02/2023,Cliente: Consumidor Final (1),7894055,1,bizcochos bay biscuit 140g,250.0,21.0,250.0
203,B 0003- 00176449,01/02/2023,Cliente: Consumidor Final (1),3517,1,Encendedor Candela,110.0,21.0,110.0
204,B 0003- 00176449,01/02/2023,Cliente: Consumidor Final (1),6057,1,OCB negros,180.0,21.0,180.0
205,B 0003- 00176450,01/02/2023,Cliente: Consumidor Final (1),898,1,Coca Cola 1250cc Retornable,340.0,21.0,340.0
206,B 0003- 00176451,01/02/2023,Cliente: Consumidor Final (1),975,1,Stella Artois 975cc,610.0,21.0,610.0
207,B 0003- 00176452,01/02/2023,Cliente: Consumidor Final (1),898,1,Coca Cola 1250cc Retornable,340.0,21.0,340.0
208,B 0003- 00176453,01/02/2023,Cliente: Consumidor Final (1),3647,1,lucky clic cool 12,280.0,21.0,280.0
209,B 0003- 00176454,01/02/2023,Cliente: Consumidor Final (1),6268,1,Baggio Naranja 1L,340.0,21.0,340.0
210,B 0003- 00176455,01/02/2023,Cliente: Consumidor Final (1),21,1,Philip Morris KS,430.0,10.5,430.0
211,B 0003- 00176456,01/02/2023,Cliente: Consumidor Final (1),14,1,Lucky Strike 12,280.0,10.5,280.0
212,B 0003- 00176457,01/02/2023,Cliente: Billetera (23),898,1,Coca Cola 1250cc Retornable,340.0,21.0,340.0
213,B 0003- 00176457,01/02/2023,Cliente: Billetera (23),222,1,Queso Rallado La Serenisima 35g,200.0,21.0,200.0
214,B 0003- 00176458,01/02/2023,Cliente: Consumidor Final (1),9540970,1,patagonia amber lager 355cc,230.0,21.0,230.0
215,B 0003- 00176458,01/02/2023,Cliente: Consumidor Final (1),9540584,1,Stanley Vainilla Tabaco,910.0,21.0,910.0
216,B 0003- 00176458,01/02/2023,Cliente: Consumidor Final (1),7894098,1,PAPELILLOS PIER CLASICO,90.0,21.0,90.0
217,B 0003- 00176459,01/02/2023,Cliente: Consumidor Final (1),140,1,Andes Rubia lata 500,280.0,21.0,280.0
