,n_comprobante,fecha,cliente,codigo,cantidad,descripcion,p_unitario,iva,precio_final,rubro
28,B 0003- 00176342,2023-01-01,Cliente: Consumidor Final (1),1,3,Caramelos (alka 3*10 super 2*10 butter 30),10.0,21.0,30.0,caramelos (32)
29,B 0003- 00176343,2023-01-01,Cliente: Consumidor Final (1),7895193,1,Leche descremada La Serenisima 1l,300.0,21.0,300.0,lacteos (28)
30,B 0003- 00176343,2023-01-01,Cliente: Consumidor Final (1),7791297,1,Mini Oreo x 50 g,150.0,21.0,150.0,galletitas (9)
31,B 0003- 00176343,2023-01-01,Cliente: Consumidor Final (1),9541094,1,Tallarines Knorr,191.0,21.0,191.0,9999
32,B 0003- 00176343,2023-01-01,Cliente: Consumidor Final (1),222,1,Queso Rallado La Serenisima 35g,200.0,21.0,200.0,lacteos (28)
33,B 0003- 00176343,2023-01-01,Cliente: Consumidor Final (1),1,1,Caramelos (alka 3*10 super 2*10 butter 30),10.0,21.0,10.0,caramelos (32)
34,B 0003- 00176343,2023-01-01,Cliente: Consumidor Final (1),1514,1,Triple Miga Chico Migamax,290.0,21.0,290.0,sandwich (1.500)
35,B 0003- 00176343,2023-01-01,Cliente: Consumidor Final (1),112,4,Rhodesia,120.0,21.0,480.0,golosinas
36,B 0003- 00176344,2023-01-01,Cliente: Consumidor Final (1),2,3,Cigarrillos Suelto lucky,30.0,21.0,90.0,cigarrillos
37,B 0003- 00176344,2023-01-01,Cliente: Consumidor Final (1),215,1,suelto economico (pier / liverpool),20.0,0.0,20.0,cigarrillos
38,B 0003- 00176345,2023-01-01,Cliente: Consumidor Final (1),21,1,Philip Morris KS,430.0,10.5,430.0,cigarrillos
39,B 0003- 00176345,2023-01-01,Cliente: Consumidor Final (1),6305,1,azucar baity comun,295.0,21.0,295.0,almacen (15)
40,B 0003- 00176346,2023-01-01,Cliente: Consumidor Final (1),9541096,1,Gillette prestobarba 3,420.0,21.0,420.0,9999
41,B 0003- 00176346,2023-01-01,Cliente: Consumidor Final (1),20,1,Marlboro 10,310.0,10.5,310.0,cigarrillos
42,B 0003- 00176347,2023-01-01,Cliente: Consumidor Final (1),18,1,MARLBORO KS,480.0,10.5,480.0,cigarrillos
43,B 0003- 00176347,2023-01-01,Cliente: Consumidor Final (1),9540998,1,vino perro callejero malbec,1490.0,21.0,1490.0,vinos (302)
44,B 0003- 00176348,2023-01-01,Cliente: QR Nico (21),3503,2,Cafe doble o con leche,180.0,21.0,360.0,comida (30)
45,B 0003- 00176348,2023-01-01,Cliente: QR Nico (21),9540656,1,Mani Con Cascara 200gr el buho,270.0,21.0,270.0,snack (306)
46,B 0003- 00176348,2023-01-01,Cliente: QR Nico (21),6017,1,papas lays x 94 grs,490.0,21.0,490.0,lays (24)
47,B 0003- 00176349,2023-01-01,Cliente: Consumidor Final (1),7791346,1,Coca cola Zero 2L retornable,440.0,21.0,440.0,coca cola (308)
48,B 0003- 00176350,2023-01-01,Cliente: Consumidor Final (1),65,1,PIZZA ESPECIAL/MUZZA/NAPO/CANTI/ROQUE,430.0,21.0,430.0,comida (30)
49,B 0003- 00176351,2023-01-01,Cliente: Consumidor Final (1),23,1,Parliament Box,580.0,21.0,580.0,cigarrillos
50,B 0003- 00176352,2023-01-01,Cliente: Consumidor Final (1),899,1,Coca Cola 1500 cc,470.0,21.0,470.0,coca cola (308)
51,B 0003- 00176352,2023-01-01,Cliente: Consumidor Final (1),21,1,Philip Morris KS,430.0,10.5,430.0,cigarrillos
52,B 0003- 00176353,2023-01-01,Cliente: Consumidor Final (1),899,1,Coca Cola 1500 cc,470.0,21.0,470.0,coca cola (308)
53,B 0003- 00176354,2023-01-01,Cliente: Billetera (23),9541086,1,patagonia travesia sureña 410ml,370.0,21.0,370.0,generico
54,B 0003- 00176354,2023-01-01,Cliente: Billetera (23),9540835,1,Patagonia 24.7 330 botella,370.0,21.0,370.0,quilmes (312)
55,B 0003- 00176355,2023-01-01,Cliente: Consumidor Final (1),20,1,Marlboro 10,310.0,10.5,310.0,cigarrillos
56,B 0003- 00176356,2023-01-01,Cliente: Billetera (23),7894107,1,Schneider Lata 473ml,280.0,21.0,280.0,cervezas (26)
57,B 0003- 00176356,2023-01-01,Cliente: Billetera (23),7894501,1,Pepsi lata,140.0,21.0,140.0,pepsi (309)
58,B 0003- 00176357,2023-01-01,Cliente: Consumidor Final (1),3021,2,"sanguche milanesa jamon, queso casero",430.0,21.0,860.0,9999
59,B 0003- 00176358,2023-01-01,Cliente: Consumidor Final (1),899,1,Coca Cola 1500 cc,470.0,21.0,470.0,coca cola (308)
60,B 0003- 00176358,2023-01-01,Cliente: Consumidor Final (1),1514,1,Triple Miga Chico Migamax,290.0,21.0,290.0,sandwich (1.500)
61,B 0003- 00176358,2023-01-01,Cliente: Consumidor Final (1),30,1,Lucky Strike Box,470.0,10.5,470.0,cigarrillos
62,B 0003- 00176359,2023-01-01,Cliente: Consumidor Final (1),991,2,yogur con cereal light serenisima,215.0,21.0,430.0,lacteos (28)
63,B 0003- 00176360,2023-01-01,Cliente: Consumidor Final (1),3503,2,Cafe doble o con leche,180.0,21.0,360.0,comida (30)
64,B 0003- 00176361,2023-01-01,Cliente: Consumidor Final (1),61,1,Mogul Ositos,85.0,21.0,85.0,golosinas
65,B 0003- 00176362,2023-01-01,Cliente: Consumidor Final (1),18,1,MARLBORO KS,480.0,10.5,480.0,cigarrillos
66,B 0003- 00176363,2023-01-01,Cliente: Consumidor Final (1),7791434,1,Mayonesa Hellmanns x 237g,250.0,21.0,250.0,aderezos (12)
67,B 0003- 00176364,2023-01-01,Cliente: Consumidor Final (1),3717,1,Sprite 2000 cc Retornable,440.0,21.0,440.0,coca cola (308)
68,B 0003- 00176364,2023-01-01,Cliente: Consumidor Final (1),6053,1,H2O Limoneto 2.25 cc,250.0,21.0,250.0,pepsi (309)
69,B 0003- 00176365,2023-01-01,Cliente: Consumidor Final (1),1516,1,Triple Grande Migamax,340.0,21.0,340.0,sandwich (1.500)
70,B 0003- 00176366,2023-01-01,Cliente: Consumidor Final (1),215,2,suelto economico (pier / liverpool),20.0,0.0,40.0,cigarrillos
71,B 0003- 00176366,2023-01-01,Cliente: Consumidor Final (1),983,1,Quilmes Lata 473cc,240.0,21.0,240.0,quilmes (312)
72,B 0003- 00176367,2023-01-01,Cliente: Consumidor Final (1),7894680,1,Doritos queso 45g,280.0,21.0,280.0,lays (24)
73,B 0003- 00176367,2023-01-01,Cliente: Consumidor Final (1),866,1,Bizcochos 9 de Oro clásicas 200g,190.0,21.0,190.0,galletitas (9)
74,B 0003- 00176368,2023-01-01,Cliente: Consumidor Final (1),7893915,1,Cunnington Pomelo/Tonica 1.5l,260.0,21.0,260.0,9999
75,B 0003- 00176369,2023-01-01,Cliente: Consumidor Final (1),7791753,1,Criollitas x 3,290.0,21.0,290.0,galletitas (9)
76,B 0003- 00176369,2023-01-01,Cliente: Consumidor Final (1),7798060,1,Queso Patagonia ligth,350.0,21.0,350.0,9999
77,B 0003- 00176370,2023-01-01,Cliente: Consumidor Final (1),1516,2,Triple Grande Migamax,340.0,21.0,680.0,sandwich (1.500)
78,B 0003- 00176370,2023-01-01,Cliente: Consumidor Final (1),7791310,1,Halls Strong,115.0,21.0,115.0,caramelos (32)
79,B 0003- 00176370,2023-01-01,Cliente: Consumidor Final (1),1,5,Caramelos (alka 3*10 super 2*10 butter 30),10.0,21.0,50.0,caramelos (32)
80,B 0003- 00176370,2023-01-01,Cliente: Consumidor Final (1),100,1,Alfajor Fantoche Triple Blanco,150.0,21.0,150.0,alfajores (5)
81,B 0003- 00176371,2023-01-01,Cliente: Consumidor Final (1),900,1,Coca cola Zero 1500cc,470.0,21.0,470.0,coca cola (308)
82,B 0003- 00176372,2023-01-01,Cliente: Consumidor Final (1),9541086,1,patagonia travesia sureña 410ml,370.0,21.0,370.0,generico
83,B 0003- 00176372,2023-01-01,Cliente: Consumidor Final (1),3647,1,lucky clic cool 12,280.0,21.0,280.0,cigarrillos
84,B 0003- 00176373,2023-01-02,Cliente: Consumidor Final (1),14,1,Lucky Strike 12,280.0,10.5,280.0,cigarrillos
85,B 0003- 00176373,2023-01-02,Cliente: Consumidor Final (1),9540442,1,Rockstar 500ml,190.0,21.0,190.0,energizantes (314)
86,B 0003- 00176373,2023-01-02,Cliente: Consumidor Final (1),21,2,Philip Morris KS,430.0,10.5,860.0,cigarrillos
87,B 0003- 00176374,2023-01-02,Cliente: Consumidor Final (1),13,1,Philip Morris 10,280.0,10.5,280.0,cigarrillos
88,B 0003- 00176374,2023-01-02,Cliente: Consumidor Final (1),7898316,1,Menthoplus Strong,100.0,21.0,100.0,caramelos (32)
89,B 0003- 00176375,2023-01-02,Cliente: Consumidor Final (1),3502,1,Cafe jarra,160.0,21.0,160.0,comida (30)
90,B 0003- 00176375,2023-01-02,Cliente: Consumidor Final (1),3505,2,Medialuna/Bizcocho,90.0,21.0,180.0,9999
91,B 0003- 00176376,2023-01-02,Cliente: Consumidor Final (1),14,1,Lucky Strike 12,280.0,10.5,280.0,cigarrillos
92,B 0003- 00176376,2023-01-02,Cliente: Consumidor Final (1),1,3,Caramelos (alka 3*10 super 2*10 butter 30),10.0,21.0,30.0,caramelos (32)
93,B 0003- 00176377,2023-01-02,Cliente: Consumidor Final (1),974,1,yogur con cereal clasico serenisima,215.0,21.0,215.0,lacteos (28)
94,B 0003- 00176377,2023-01-02,Cliente: Consumidor Final (1),3557,1,Alfajor sin culpa limon,145.0,21.0,145.0,alfajores (5)
95,B 0003- 00176378,2023-01-02,Cliente: Consumidor Final (1),6697,1,Cerealitas Clasicas 200g,245.0,21.0,245.0,galletitas (9)
96,B 0003- 00176378,2023-01-02,Cliente: Consumidor Final (1),6804,1,Levite Manzana 500,150.0,21.0,150.0,levite (310)
97,B 0003- 00176379,2023-01-02,Cliente: Consumidor Final (1),3502,2,Cafe jarra,160.0,21.0,320.0,comida (30)
98,B 0003- 00176379,2023-01-02,Cliente: Consumidor Final (1),3505,4,Medialuna/Bizcocho,90.0,21.0,360.0,9999
99,B 0003- 00176380,2023-01-02,Cliente: Consumidor Final (1),7791353,1,Beldent Menta Fuerte,110.0,21.0,110.0,chiclets (6)
100,B 0003- 00176381,2023-01-02,Cliente: Consumidor Final (1),7898316,1,Menthoplus Strong,100.0,21.0,100.0,caramelos (32)
101,B 0003- 00176381,2023-01-02,Cliente: Consumidor Final (1),7791353,1,Beldent Menta Fuerte,110.0,21.0,110.0,chiclets (6)
102,B 0003- 00176381,2023-01-02,Cliente: Consumidor Final (1),3520,1,Bananita Dolca grande 30g,150.0,21.0,150.0,golosinas
103,B 0003- 00176381,2023-01-02,Cliente: Consumidor Final (1),7791357,1,Marroc bocadito,60.0,21.0,60.0,golosinas
104,B 0003- 00176382,2023-01-02,Cliente: Consumidor Final (1),6305,1,azucar baity comun,295.0,21.0,295.0,almacen (15)
105,B 0003- 00176383,2023-01-02,Cliente: Consumidor Final (1),3502,1,Cafe jarra,160.0,21.0,160.0,comida (30)
106,B 0003- 00176383,2023-01-02,Cliente: Consumidor Final (1),7894137,2,"mix de avena, semillas y frutos secos",30.0,0.0,60.0,9999
107,B 0003- 00176384,2023-01-02,Cliente: Consumidor Final (1),3502,1,Cafe jarra,160.0,21.0,160.0,comida (30)
108,B 0003- 00176385,2023-01-02,Cliente: Consumidor Final (1),2,2,Cigarrillos Suelto lucky,30.0,21.0,60.0,cigarrillos
109,B 0003- 00176386,2023-01-02,Cliente: Consumidor Final (1),3505,2,Medialuna/Bizcocho,90.0,21.0,180.0,9999
110,B 0003- 00176387,2023-01-02,Cliente: Consumidor Final (1),3508,1,Café para llevar,200.0,21.0,200.0,comida (30)
111,B 0003- 00176388,2023-01-02,Cliente: Consumidor Final (1),3502,1,Cafe jarra,160.0,21.0,160.0,comida (30)
112,B 0003- 00176389,2023-01-02,Cliente: Consumidor Final (1),9540735,1,Lucky box convertible 20,470.0,21.0,470.0,cigarrillos
113,B 0003- 00176390,2023-01-02,Cliente: Consumidor Final (1),18,1,MARLBORO KS,480.0,10.5,480.0,cigarrillos
114,B 0003- 00176391,2023-01-02,Cliente: Consumidor Final (1),6216,1,Cappuccino La Virginia x Sobre de 12.5 g,90.0,21.0,90.0,almacen (15)
115,B 0003- 00176391,2023-01-02,Cliente: Consumidor Final (1),6795,2,cafe en saquito la virginia x 5grs,40.0,21.0,80.0,almacen (15)
116,B 0003- 00176391,2023-01-02,Cliente: Consumidor Final (1),7894137,1,"mix de avena, semillas y frutos secos",30.0,0.0,30.0,9999
117,B 0003- 00176391,2023-01-02,Cliente: Consumidor Final (1),9541033,1,beldent menta fuerte 3s,40.0,21.0,40.0,chiclets (6)
118,B 0003- 00176392,2023-01-02,Cliente: Consumidor Final (1),3021,1,"sanguche milanesa jamon, queso casero",430.0,21.0,430.0,9999
119,B 0003- 00176393,2023-01-02,Cliente: Consumidor Final (1),9541063,2,turron namur georgalos,40.0,0.0,80.0,generico
120,B 0003- 00176394,2023-01-02,Cliente: Consumidor Final (1),3505,4,Medialuna/Bizcocho,90.0,21.0,360.0,9999
121,B 0003- 00176394,2023-01-02,Cliente: Consumidor Final (1),1,4,Caramelos (alka 3*10 super 2*10 butter 30),10.0,21.0,40.0,caramelos (32)
122,B 0003- 00176395,2023-01-02,Cliente: Consumidor Final (1),1038,1,Gatorade Cool Blue 500cc,290.0,21.0,290.0,pepsi (309)
123,B 0003- 00176395,2023-01-02,Cliente: Consumidor Final (1),1583,1,Cereal mix Manzana light,120.0,21.0,120.0,barras cereales (301)
124,B 0003- 00176396,2023-01-02,Cliente: Consumidor Final (1),7893417,3,Stella Artois lata 473 cm,290.0,21.0,870.0,quilmes (312)
125,B 0003- 00176397,2023-01-02,Cliente: Consumidor Final (1),6803,1,Levite Naranja 500c,150.0,21.0,150.0,levite (310)
126,B 0003- 00176398,2023-01-02,Cliente: Consumidor Final (1),9540793,1,mirinda lata 354ml,90.0,21.0,90.0,9999
127,B 0003- 00176398,2023-01-02,Cliente: Consumidor Final (1),1,20,Caramelos (alka 3*10 super 2*10 butter 30),10.0,21.0,200.0,caramelos (32)
128,B 0003- 00176398,2023-01-02,Cliente: Consumidor Final (1),65,1,PIZZA ESPECIAL/MUZZA/NAPO/CANTI/ROQUE,430.0,21.0,430.0,comida (30)
129,B 0003- 00176399,2023-01-02,Cliente: Consumidor Final (1),3508,2,Café para llevar,200.0,21.0,400.0,comida (30)
130,B 0003- 00176399,2023-01-02,Cliente: Consumidor Final (1),3505,4,Medialuna/Bizcocho,90.0,21.0,360.0,9999
131,B 0003- 00176400,2023-01-02,Cliente: Consumidor Final (1),195,1,Cereal Mix Yoghurt Frutilla Light,120.0,21.0,120.0,barras cereales (301)
132,B 0003- 00176400,2023-01-02,Cliente: Consumidor Final (1),7791581,2,Chocolate Vauquita Suave,60.0,21.0,120.0,chocolates (4)
133,B 0003- 00176401,2023-01-02,Cliente: Consumidor Final (1),7791353,1,Beldent Menta Fuerte,110.0,21.0,110.0,chiclets (6)
134,B 0003- 00176401,2023-01-02,Cliente: Consumidor Final (1),9540735,1,Lucky box convertible 20,470.0,21.0,470.0,cigarrillos
135,B 0003- 00176401,2023-01-02,Cliente: Consumidor Final (1),7791383,3,Flynn Paff x unidad,20.0,21.0,60.0,9999
136,B 0003- 00176402,2023-01-02,Cliente: Consumidor Final (1),7895178,5,Liverpool suave,200.0,21.0,1000.0,cigarrillos
137,B 0003- 00176402,2023-01-02,Cliente: Consumidor Final (1),991,1,yogur con cereal light serenisima,215.0,21.0,215.0,lacteos (28)
138,B 0003- 00176403,2023-01-02,Cliente: Consumidor Final (1),1518,1,Bandeja x12 simples Migamax,380.0,21.0,380.0,sandwich (1.500)
139,B 0003- 00176403,2023-01-02,Cliente: Consumidor Final (1),9540831,1,monster the doctor 473cc,385.0,21.0,385.0,energizantes (314)
140,B 0003- 00176404,2023-01-02,Cliente: Consumidor Final (1),6674,1,imperial rubia lata,280.0,21.0,280.0,cervezas (26)
141,B 0003- 00176405,2023-01-02,Cliente: Consumidor Final (1),3505,2,Medialuna/Bizcocho,90.0,21.0,180.0,9999
142,B 0003- 00176405,2023-01-02,Cliente: Consumidor Final (1),905,1,Sprite 500cc,220.0,21.0,220.0,coca cola (308)
143,B 0003- 00176406,2023-01-02,Cliente: Consumidor Final (1),866,1,Bizcochos 9 de Oro clásicas 200g,190.0,21.0,190.0,galletitas (9)
144,B 0003- 00176407,2023-01-02,Cliente: Consumidor Final (1),106,1,ENSALADA DE FRUTA,260.0,21.0,260.0,alfajores (5)
145,B 0003- 00176408,2023-01-02,Cliente: Billetera (23),3021,1,"sanguche milanesa jamon, queso casero",430.0,21.0,430.0,9999
146,B 0003- 00176409,2023-01-02,Cliente: Consumidor Final (1),3021,2,"sanguche milanesa jamon, queso casero",430.0,21.0,860.0,9999
147,B 0003- 00176410,2023-01-02,Cliente: Consumidor Final (1),7893764,1,Fanta lata 310,180.0,21.0,180.0,coca cola (308)
148,B 0003- 00176411,2023-01-02,Cliente: Consumidor Final (1),3647,1,lucky clic cool 12,280.0,21.0,280.0,cigarrillos
149,B 0003- 00176412,2023-01-02,Cliente: Consumidor Final (1),3502,1,Cafe jarra,160.0,21.0,160.0,comida (30)
150,B 0003- 00176413,2023-01-02,Cliente: Consumidor Final (1),6394,1,Liverpool,200.0,21.0,200.0,cigarrillos
151,B 0003- 00176414,2023-01-02,Cliente: Consumidor Final (1),6674,1,imperial rubia lata,280.0,21.0,280.0,cervezas (26)
152,B 0003- 00176415,2023-01-02,Cliente: Consumidor Final (1),222,1,Queso Rallado La Serenisima 35g,200.0,21.0,200.0,lacteos (28)
153,B 0003- 00176415,2023-01-02,Cliente: Consumidor Final (1),1686,1,crema de leche serenisima cocina 200ml,290.0,21.0,290.0,lacteos (28)
154,B 0003- 00176416,2023-01-02,Cliente: Consumidor Final (1),3517,1,Encendedor Candela,110.0,21.0,110.0,encendedores (307)
155,B 0003- 00176416,2023-01-02,Cliente: Consumidor Final (1),1519,1,Pack x4 Triples Migamax,340.0,21.0,340.0,sandwich (1.500)
156,B 0003- 00176417,2023-01-02,Cliente: Consumidor Final (1),941,1,Levite Pomelo 1500cc,310.0,21.0,310.0,levite (310)
157,B 0003- 00176417,2023-01-02,Cliente: Consumidor Final (1),9541084,2,cigarrillos pier 10box,120.0,21.0,240.0,cigarrillos
158,B 0003- 00176418,2023-01-02,Cliente: Consumidor Final (1),9540884,1,Levite FIZZ limon 575 ml,150.0,21.0,150.0,levite (310)
159,B 0003- 00176419,2023-01-02,Cliente: Consumidor Final (1),9540735,1,Lucky box convertible 20,470.0,21.0,470.0,cigarrillos
160,B 0003- 00176420,2023-01-02,Cliente: Consumidor Final (1),1038,1,Gatorade Cool Blue 500cc,290.0,21.0,290.0,pepsi (309)
161,B 0003- 00176421,2023-01-02,Cliente: Consumidor Final (1),500,350,carga virtual,1.0,21.0,350.0,virtual (1.501)
162,B 0003- 00176422,2023-01-02,Cliente: Consumidor Final (1),7895105,1,Andes Roja 1 Litro,490.0,21.0,490.0,quilmes (312)
163,B 0003- 00176422,2023-01-02,Cliente: Consumidor Final (1),7893870,1,3D por 43g,250.0,21.0,250.0,lays (24)
164,B 0003- 00176423,2023-01-02,Cliente: Consumidor Final (1),905,1,Sprite 500cc,220.0,21.0,220.0,coca cola (308)
165,B 0003- 00176423,2023-01-02,Cliente: Consumidor Final (1),7791357,2,Marroc bocadito,60.0,21.0,120.0,golosinas
166,B 0003- 00176424,2023-01-02,Cliente: Consumidor Final (1),7893753,1,Brahma lata 473ml,240.0,21.0,240.0,quilmes (312)
167,B 0003- 00176425,2023-01-02,Cliente: Consumidor Final (1),9541080,1,Gin brighton london dry 700ml,2060.0,21.0,2060.0,9999
168,B 0003- 00176425,2023-01-02,Cliente: Consumidor Final (1),926,2,Paso de los Toros Tónica 1.500 cc,420.0,21.0,840.0,pepsi (309)
169,B 0003- 00176426,2023-01-02,Cliente: Consumidor Final (1),1,5,Caramelos (alka 3*10 super 2*10 butter 30),10.0,21.0,50.0,caramelos (32)
170,B 0003- 00176426,2023-01-02,Cliente: Consumidor Final (1),149,1,Mentos Menta,120.0,21.0,120.0,caramelos (32)
171,B 0003- 00176427,2023-01-02,Cliente: Consumidor Final (1),7893590,1,Mayonesa Natura 250cm,390.0,21.0,390.0,aderezos (12)
172,B 0003- 00176428,2023-01-02,Cliente: Consumidor Final (1),982,1,Quilmes Cristal 1L,420.0,21.0,420.0,9999
173,B 0003- 00176428,2023-01-02,Cliente: Consumidor Final (1),924,1,Paso de los Toros Pomelo 269ml,120.0,21.0,120.0,pepsi (309)
174,B 0003- 00176429,2023-01-02,Cliente: Consumidor Final (1),7791419,1,Heineken Ret x 1L,830.0,21.0,830.0,cervezas (26)
175,B 0003- 00176430,2023-01-02,Cliente: Consumidor Final (1),7791310,1,Halls Strong,115.0,21.0,115.0,caramelos (32)
176,B 0003- 00176431,2023-01-02,Cliente: Consumidor Final (1),6507,9,Cigarrillos Dolchester,170.0,21.0,1530.0,cigarrillos
177,B 0003- 00176432,2023-01-02,Cliente: Consumidor Final (1),6449,1,toallas con alas always x 8,260.0,21.0,260.0,perfumeria (16)
178,B 0003- 00176433,2023-01-02,Cliente: Billetera (23),7791346,1,Coca cola Zero 2L retornable,440.0,21.0,440.0,coca cola (308)
179,B 0003- 00176433,2023-01-02,Cliente: Billetera (23),7893461,1,Express Clasicas por 101 g,160.0,21.0,160.0,galletitas (9)
180,B 0003- 00176434,2023-01-02,Cliente: Consumidor Final (1),7895184,1,Tabaco Pacha Mama 30g,750.0,21.0,750.0,cigarrillos
181,B 0003- 00176435,2023-01-02,Cliente: Consumidor Final (1),3503,1,Cafe doble o con leche,180.0,21.0,180.0,comida (30)
182,B 0003- 00176435,2023-01-02,Cliente: Consumidor Final (1),6808,1,yogurisimo con cereales,130.0,21.0,130.0,9999
183,B 0003- 00176436,2023-01-02,Cliente: Consumidor Final (1),6202,1,7up 2L free Retornable,250.0,21.0,250.0,9999
184,B 0003- 00176437,2023-01-02,Cliente: Consumidor Final (1),1624,1,Coca Cola Zero x 500 cc,220.0,21.0,220.0,coca cola (308)
185,B 0003- 00176437,2023-01-02,Cliente: Consumidor Final (1),9540833,2,beldent menta fresh sparks,110.0,21.0,220.0,chiclets (6)
186,B 0003- 00176438,2023-01-02,Cliente: Consumidor Final (1),9540518,1,Mana rellenas frutilla 152g,230.0,21.0,230.0,galletitas (9)
187,B 0003- 00176439,2023-01-02,Cliente: Consumidor Final (1),7791419,1,Heineken Ret x 1L,830.0,21.0,830.0,cervezas (26)
188,B 0003- 00176440,2023-01-02,Cliente: Consumidor Final (1),3647,1,lucky clic cool 12,280.0,21.0,280.0,cigarrillos
189,B 0003- 00176441,2023-01-02,Cliente: Consumidor Final (1),9540856,1,Cafe Instantaneo la virginia 100 grs,810.0,21.0,810.0,almacen (15)
190,B 0003- 00176442,2023-01-02,Cliente: Consumidor Final (1),1514,1,Triple Miga Chico Migamax,290.0,21.0,290.0,sandwich (1.500)
191,B 0003- 00176442,2023-01-02,Cliente: Consumidor Final (1),3503,1,Cafe doble o con leche,180.0,21.0,180.0,comida (30)
192,B 0003- 00176443,2023-01-02,Cliente: Consumidor Final (1),7895012,1,Lays queso crema y cebolla 85g,490.0,21.0,490.0,lays (24)
193,B 0003- 00176444,2023-01-02,Cliente: Consumidor Final (1),7894107,1,Schneider Lata 473ml,280.0,21.0,280.0,cervezas (26)
194,B 0003- 00176444,2023-01-02,Cliente: Consumidor Final (1),14,1,Lucky Strike 12,280.0,10.5,280.0,cigarrillos
195,B 0003- 00176445,2023-01-02,Cliente: Consumidor Final (1),18,1,MARLBORO KS,480.0,10.5,480.0,cigarrillos
